x, y
0.056016642592388824, 6394.904399015842
0.056016642592388824, 6203.82163392017
0.09751036679727601, 6363.057360590496
0.12240662917858194, 6458.598743138332
0.10373448462705304, 5821.656103728827
0.10580916735500069, 5694.267682755645
0.15767637484556013, 5885.350180579519
0.15352700938966482, 5662.420109786703
0.13900416064809717, 5662.420109786703
0.195020803240486, 5949.044524702009
0.2302904792615303, 5726.114721180991
0.195020803240486, 5566.8789945106655
0.1867220026827614, 5312.102152564303
0.2489626934589932, 4993.6306992236505
0.280083004024142, 4929.936087829362
0.3070539491333957, 5089.171814499688
0.3008299009495527, 4611.465169032307
0.3195021151470156, 4261.14667726631
0.32157679787496324, 4197.452065872021
0.37966812319529974, 3815.2865356806783
