x, y
0.09921313097472464, 3488.529387551384
0.057851201837713064, 3499.99989240597
0.122849247206339, 3454.6834371152613
0.38102935531496984, 2151.6131348978697
0.15739448954594532, 3234.68451719513
0.10648569675965171, 3285.4535235444255
0.13921279765302627, 3234.68451719513
0.10466755531341995, 3285.4535235444255
0.18648516883155564, 3065.454603624294
0.19557601477801517, 3116.2234485833674
0.19193973188555163, 3065.454603624294
0.22830311567138972, 3031.6084917979497
0.24830294901054054, 2879.3016341402863
0.27921176974238265, 2845.4555223139414
0.30830258774329367, 2794.686677354868
0.3010298832430659, 2608.53370787086
0.31921157513598497, 2693.148664656278
0.3210297165822167, 2574.687918824959
