x, y
0.056561085972850686, 3028.1690140845067
0.10407239819004525, 2838.0281690140846
0.09728506787330318, 3007.0422535211264
0.10407239819004525, 3366.1971830985913
0.12217194570135748, 3450.7042253521126
0.13800904977375567, 3133.8028169014083
0.15384615384615385, 3154.9295774647885
0.15837104072398192, 3302.8169014084506
0.19230769230769232, 3366.1971830985913
0.18552036199095023, 3007.0422535211264
0.19683257918552038, 3007.0422535211264
0.22850678733031676, 2964.788732394366
0.24886877828054302, 2795.774647887324
0.28054298642533937, 2732.394366197183
0.3076923076923077, 2732.394366197183
0.29864253393665163, 2415.492957746479
0.31900452488687786, 2500
0.3212669683257919, 2478.8732394366198
0.3800904977375566, 2014.0845070422533
